mRNA,siRNA,Efficacy
NM_015213,NM_015213_38,0.97
NM_015213,NM_015213_39,0.939
NM_015213,NM_015213_40,0.938
NM_015213,NM_015213_41,0.938
NM_015213,NM_015213_42,0.938
NM_015213,NM_015213_43,0.937
NM_015213,NM_015213_44,0.937
NM_015213,NM_015213_45,0.937
NM_015213,NM_015213_46,0.937
NM_015213,NM_015213_47,0.937
NM_015213,NM_015213_48,0.936
NM_015213,NM_015213_49,0.936
NM_015213,NM_015213_50,0.935
NM_015213,NM_015213_51,0.934
NM_015213,NM_015213_52,0.934
NM_015213,NM_015213_53,0.933
NM_015213,NM_015213_54,0.933
NM_015213,NM_015213_55,0.931
NM_015213,NM_015213_56,0.931
NM_015213,NM_015213_57,0.931
NM_015213,NM_015213_58,0.931
NM_015213,NM_015213_59,0.928
NM_015213,NM_015213_60,0.928
NM_015213,NM_015213_61,0.927
NM_015213,NM_015213_62,0.925
NM_015213,NM_015213_63,0.925
NM_015213,NM_015213_64,0.925
NM_015213,NM_015213_65,0.924
NM_015213,NM_015213_66,0.924
NM_015213,NM_015213_67,0.923
NM_015213,NM_015213_68,0.923
NM_015213,NM_015213_69,0.923
NM_015213,NM_015213_70,0.923
NM_015213,NM_015213_71,0.923
NM_015213,NM_015213_72,0.923
NM_015213,NM_015213_73,0.921
NM_015213,NM_015213_74,0.921
NM_015213,NM_015213_75,0.92
NM_015213,NM_015213_76,0.92
NM_015213,NM_015213_77,0.92
NM_015213,NM_015213_78,0.919
NM_015213,NM_015213_79,0.918
NM_015213,NM_015213_80,0.916
NM_015213,NM_015213_81,0.916
NM_015213,NM_015213_82,0.915
NM_015213,NM_015213_83,0.915
NM_015213,NM_015213_84,0.915
NM_015213,NM_015213_85,0.915
NM_015213,NM_015213_86,0.897
NM_015213,NM_015213_87,0.897
NM_015213,NM_015213_88,0.896
NM_015213,NM_015213_89,0.896
NM_015213,NM_015213_90,0.895
NM_015213,NM_015213_91,0.895
NM_015213,NM_015213_92,0.895
NM_015213,NM_015213_93,0.895
NM_015213,NM_015213_94,0.895
NM_015213,NM_015213_95,0.894
NM_015213,NM_015213_96,0.894
NM_015213,NM_015213_97,0.893
NM_015213,NM_015213_98,0.892
NM_015213,NM_015213_99,0.891
NM_015213,NM_015213_100,0.891
NM_015213,NM_015213_101,0.891
NM_015213,NM_015213_102,0.89
NM_015213,NM_015213_103,0.89
NM_015213,NM_015213_104,0.89
NM_015213,NM_015213_105,0.889
NM_015213,NM_015213_106,0.889
NM_015213,NM_015213_107,0.889
NM_015213,NM_015213_108,0.888
NM_015213,NM_015213_109,0.888
NM_015213,NM_015213_110,0.888
NM_015213,NM_015213_111,0.887
NM_015213,NM_015213_112,0.887
NM_015213,NM_015213_113,0.879
NM_015213,NM_015213_114,0.879
NM_015213,NM_015213_115,0.878
NM_015213,NM_015213_116,0.878
NM_015213,NM_015213_117,0.876
NM_015213,NM_015213_118,0.876
NM_015213,NM_015213_119,0.876
NM_015213,NM_015213_120,0.876
NM_015213,NM_015213_121,0.873
NM_015213,NM_015213_122,0.872
NM_015213,NM_015213_123,0.872
NM_015213,NM_015213_124,0.871
NM_015213,NM_015213_125,0.871
NM_015213,NM_015213_126,0.871
NM_016406,NM_016406_1,1.017
NM_016406,NM_016406_2,1.015
NM_016406,NM_016406_3,1.013
NM_016406,NM_016406_4,1.007
NM_016406,NM_016406_5,1.006
NM_016406,NM_016406_6,1.006
NM_016406,NM_016406_7,1.003
NM_016406,NM_016406_8,0.999
NM_016406,NM_016406_9,0.989
NM_016406,NM_016406_10,0.989
NM_016406,NM_016406_11,0.982
NM_016406,NM_016406_12,0.98
NM_016406,NM_016406_13,0.977
NM_016406,NM_016406_14,0.965
NM_016406,NM_016406_15,0.962
NM_016406,NM_016406_16,0.961
NM_016406,NM_016406_17,0.961
NM_016406,NM_016406_18,0.959
NM_016406,NM_016406_19,0.953
NM_016406,NM_016406_20,0.952
NM_016406,NM_016406_21,0.949
NM_016406,NM_016406_22,0.94
NM_016406,NM_016406_23,0.935
NM_016406,NM_016406_24,0.931
NM_016406,NM_016406_25,0.93
NM_016406,NM_016406_26,0.93
NM_016406,NM_016406_27,0.929
NM_016406,NM_016406_28,0.926
NM_016406,NM_016406_29,0.926
NM_016406,NM_016406_30,0.918
NM_016406,NM_016406_31,0.917
NM_016406,NM_016406_32,0.915
NM_016406,NM_016406_33,0.914
NM_016406,NM_016406_34,0.907
NM_016406,NM_016406_35,0.906
NM_016406,NM_016406_36,0.906
NM_016406,NM_016406_37,0.904
NM_016406,NM_016406_38,0.902
NM_016406,NM_016406_39,0.901
NM_016406,NM_016406_40,0.891
NM_016406,NM_016406_41,0.888
NM_016406,NM_016406_42,0.887
NM_016406,NM_016406_43,0.886
NM_016406,NM_016406_44,0.885
NM_016406,NM_016406_45,0.884
NM_016406,NM_016406_46,0.881
NM_016406,NM_016406_47,0.88
NM_016406,NM_016406_48,0.88
NM_016406,NM_016406_49,0.879
NM_016406,NM_016406_50,0.879
NM_016406,NM_016406_51,0.877
NM_016406,NM_016406_52,0.875
NM_016406,NM_016406_53,0.872
NM_016406,NM_016406_54,0.87
NM_016406,NM_016406_55,0.869
NM_016406,NM_016406_56,0.864
NM_016406,NM_016406_57,0.864
NM_016406,NM_016406_58,0.861
NM_016406,NM_016406_59,0.859
NM_016406,NM_016406_60,0.859
NM_016406,NM_016406_61,0.857
NM_016406,NM_016406_62,0.855
NM_016406,NM_016406_63,0.855
NM_016406,NM_016406_64,0.854
NM_016406,NM_016406_65,0.834
NM_016406,NM_016406_66,0.834
NM_016406,NM_016406_67,0.833
NM_016406,NM_016406_68,0.832
NM_016406,NM_016406_69,0.831
NM_016406,NM_016406_70,0.83
XM_371822,XM_371822_1,1.064
XM_371822,XM_371822_2,1.034
XM_371822,XM_371822_3,1.019
XM_371822,XM_371822_4,0.992
XM_371822,XM_371822_5,0.98
XM_371822,XM_371822_6,0.98
XM_371822,XM_371822_7,0.977
XM_371822,XM_371822_8,0.976
XM_371822,XM_371822_9,0.971
XM_371822,XM_371822_10,0.97
XM_371822,XM_371822_11,0.969
XM_371822,XM_371822_12,0.965
XM_371822,XM_371822_13,0.948
XM_371822,XM_371822_14,0.943
XM_371822,XM_371822_15,0.942
XM_371822,XM_371822_16,0.938
XM_371822,XM_371822_17,0.935
XM_371822,XM_371822_18,0.934
XM_371822,XM_371822_19,0.932
XM_371822,XM_371822_20,0.931
XM_371822,XM_371822_21,0.929
XM_371822,XM_371822_22,0.929
XM_371822,XM_371822_23,0.928
XM_371822,XM_371822_24,0.928
XM_371822,XM_371822_25,0.927
XM_371822,XM_371822_26,0.926
XM_371822,XM_371822_27,0.926
XM_371822,XM_371822_28,0.925
XM_371822,XM_371822_29,0.925
XM_371822,XM_371822_30,0.924
XM_371822,XM_371822_31,0.922
XM_371822,XM_371822_32,0.92
XM_371822,XM_371822_33,0.92
XM_371822,XM_371822_34,0.919
XM_371822,XM_371822_35,0.917
XM_371822,XM_371822_36,0.917
XM_371822,XM_371822_37,0.917
XM_371822,XM_371822_38,0.914
XM_371822,XM_371822_39,0.914
XM_371822,XM_371822_40,0.911
XM_371822,XM_371822_41,0.908
XM_371822,XM_371822_42,0.907
XM_371822,XM_371822_43,0.907
XM_371822,XM_371822_44,0.906
XM_371822,XM_371822_45,0.905
XM_371822,XM_371822_46,0.905
XM_371822,XM_371822_47,0.903
XM_371822,XM_371822_48,0.903
XM_371822,XM_371822_49,0.902
XM_371822,XM_371822_50,0.901
XM_371822,XM_371822_51,0.9
XM_371822,XM_371822_52,0.898
XM_371822,XM_371822_53,0.896
XM_371822,XM_371822_54,0.871
XM_371822,XM_371822_55,0.871
XM_371822,XM_371822_56,0.87
XM_371822,XM_371822_57,0.87
XM_371822,XM_371822_58,0.869
XM_371822,XM_371822_59,0.869
XM_371822,XM_371822_60,0.868
XM_371822,XM_371822_61,0.868
XM_371822,XM_371822_62,0.867
XM_371822,XM_371822_63,0.865
XM_371822,XM_371822_64,0.865
XM_371822,XM_371822_65,0.841
XM_371822,XM_371822_66,0.84
XM_371822,XM_371822_67,0.839
XM_371822,XM_371822_68,0.839
XM_371822,XM_371822_69,0.838
XM_371822,XM_371822_70,0.838
XM_371822,XM_371822_71,0.838
XM_371822,XM_371822_72,0.836
XM_371822,XM_371822_73,0.836
XM_371822,XM_371822_74,0.836
XM_371822,XM_371822_75,0.835
XM_371822,XM_371822_76,0.835
XM_371822,XM_371822_77,0.834
XM_371822,XM_371822_78,0.834
XM_371822,XM_371822_79,0.834
XM_371822,XM_371822_80,0.834
XM_371822,XM_371822_81,0.833
XM_371822,XM_371822_82,0.833
XM_371822,XM_371822_83,0.832
XM_371822,XM_371822_84,0.832
XM_371822,XM_371822_85,0.832
XM_371822,XM_371822_86,0.831
XM_371822,XM_371822_87,0.831
XM_371822,XM_371822_88,0.831
XM_371822,XM_371822_89,0.83
XM_371822,XM_371822_90,0.83
XM_371822,XM_371822_91,0.829
XM_371822,XM_371822_92,0.829
XM_371822,XM_371822_93,0.828
XM_371822,XM_371822_94,0.828
XM_371822,XM_371822_95,0.828
XM_371822,XM_371822_96,0.828
XM_371822,XM_371822_97,0.822
XM_371822,XM_371822_98,0.822
XM_371822,XM_371822_99,0.821
XM_371822,XM_371822_100,0.821
XM_371822,XM_371822_101,0.821
XM_371822,XM_371822_102,0.821
XM_371822,XM_371822_103,0.82
XM_371822,XM_371822_104,0.82
XM_371822,XM_371822_105,0.819
XM_371822,XM_371822_106,0.819
XM_371822,XM_371822_107,0.818
XM_371822,XM_371822_108,0.818
XM_371822,XM_371822_109,0.818
XM_371822,XM_371822_110,0.817
XM_371822,XM_371822_111,0.816
XM_371822,XM_371822_112,0.815
XM_371822,XM_371822_113,0.815
XM_371822,XM_371822_114,0.815
XM_371822,XM_371822_115,0.814
XM_371822,XM_371822_116,0.814
XM_371822,XM_371822_117,0.814
XM_371822,XM_371822_118,0.813
XM_371822,XM_371822_119,0.809
XM_371822,XM_371822_120,0.808
XM_371822,XM_371822_121,0.808
XM_371822,XM_371822_122,0.807
XM_371822,XM_371822_123,0.807
XM_371822,XM_371822_124,0.805
XM_371822,XM_371822_125,0.804
XM_371822,XM_371822_126,0.804
XM_371822,XM_371822_127,0.796
XM_371822,XM_371822_128,0.796
XM_371822,XM_371822_129,0.795
XM_371822,XM_371822_130,0.795
XM_371822,XM_371822_131,0.795
XM_371822,XM_371822_132,0.794
XM_371822,XM_371822_133,0.794
XM_371822,XM_371822_134,0.794
XM_371822,XM_371822_135,0.794
XM_371822,XM_371822_136,0.794
XM_371822,XM_371822_137,0.794
XM_371822,XM_371822_138,0.793
XM_371822,XM_371822_139,0.793
XM_371822,XM_371822_140,0.792
XM_371822,XM_371822_141,0.792
XM_371822,XM_371822_142,0.792
XM_371822,XM_371822_143,0.789
XM_371822,XM_371822_144,0.789
XM_371822,XM_371822_145,0.789
mrna - M60857,mrna - M60857_1,1.072
mrna - M60857,mrna - M60857_2,1.065
mrna - M60857,mrna - M60857_3,1.042
mrna - M60857,mrna - M60857_4,1.027
mrna - M60857,mrna - M60857_5,1.019
mrna - M60857,mrna - M60857_6,1.009
mrna - M60857,mrna - M60857_7,0.996
mrna - M60857,mrna - M60857_8,0.992
mrna - M60857,mrna - M60857_9,0.989
mrna - M60857,mrna - M60857_10,0.989
mrna - M60857,mrna - M60857_11,0.988
mrna - M60857,mrna - M60857_12,0.986
mrna - M60857,mrna - M60857_13,0.986
mrna - M60857,mrna - M60857_14,0.985
mrna - M60857,mrna - M60857_15,0.965
mrna - M60857,mrna - M60857_16,0.961
mrna - M60857,mrna - M60857_17,0.795
mrna - M60857,mrna - M60857_18,0.793
mrna - M60857,mrna - M60857_19,0.793
mrna - M60857,mrna - M60857_20,0.791
mrna - M60857,mrna - M60857_21,0.79
mrna - M60857,mrna - M60857_22,0.789
mrna - M60857,mrna - M60857_23,0.788
mrna - M60857,mrna - M60857_24,0.788
mrna - M60857,mrna - M60857_25,0.788
mrna - M60857,mrna - M60857_26,0.787
mrna - M60857,mrna - M60857_27,0.785
mrna - M60857,mrna - M60857_28,0.785
mrna - M60857,mrna - M60857_29,0.784
mrna - M60857,mrna - M60857_30,0.783
mrna - M60857,mrna - M60857_31,0.686
mrna - M60857,mrna - M60857_32,0.686
mrna - M60857,mrna - M60857_33,0.685
mrna - M60857,mrna - M60857_34,0.684
mrna - M60857,mrna - M60857_35,0.684
mrna - M60857,mrna - M60857_36,0.684
mrna - M60857,mrna - M60857_37,0.684
mrna - M60857,mrna - M60857_38,0.684
mrna - M60857,mrna - M60857_39,0.682
mrna - M60857,mrna - M60857_40,0.682
mrna - M60857,mrna - M60857_41,0.681
mrna - M60857,mrna - M60857_42,0.681
mrna - M60857,mrna - M60857_43,0.68
mrna - M60857,mrna - M60857_44,0.68
mrna - M60857,mrna - M60857_45,0.677
mrna - M60857,mrna - M60857_46,0.596
mrna - M60857,mrna - M60857_47,0.594
mrna - M60857,mrna - M60857_48,0.594
mrna - M60857,mrna - M60857_49,0.593
mrna - M60857,mrna - M60857_50,0.593
mrna - M60857,mrna - M60857_51,0.593
mrna - M60857,mrna - M60857_52,0.592
mrna - M60857,mrna - M60857_53,0.592
mrna - M60857,mrna - M60857_54,0.591
mrna - M60857,mrna - M60857_55,0.591
mrna - M60857,mrna - M60857_56,0.591
mrna - M60857,mrna - M60857_57,0.59
mrna - M60857,mrna - M60857_58,0.49
mrna - M60857,mrna - M60857_59,0.489
mrna - M60857,mrna - M60857_60,0.489
mrna - M60857,mrna - M60857_61,0.488
mrna - M60857,mrna - M60857_62,0.488
mrna - M60857,mrna - M60857_63,0.487
mrna - M60857,mrna - M60857_64,0.486
mrna - M60857,mrna - M60857_65,0.486
mrna - M60857,mrna - M60857_66,0.485
mrna - M60857,mrna - M60857_67,0.483
mrna - M60857,mrna - M60857_68,0.483
mrna - M60857,mrna - M60857_69,0.483
mrna - M60857,mrna - M60857_70,0.46
mrna - M60857,mrna - M60857_71,0.459
mrna - M60857,mrna - M60857_72,0.458
mrna - M60857,mrna - M60857_73,0.458
mrna - M60857,mrna - M60857_74,0.458
mrna - M60857,mrna - M60857_75,0.456
mrna - M60857,mrna - M60857_76,0.455
mrna - M60857,mrna - M60857_77,0.455
mrna - M60857,mrna - M60857_78,0.455
mrna - M60857,mrna - M60857_79,0.386
mrna - M60857,mrna - M60857_80,0.381
mrna - M60857,mrna - M60857_81,0.378
mrna - M60857,mrna - M60857_82,0.377
mrna - M60857,mrna - M60857_83,0.377
mrna - M60857,mrna - M60857_84,0.374
mrna - M60857,mrna - M60857_85,0.367
mrna - M60857,mrna - M60857_86,0.364
mrna - M60857,mrna - M60857_87,0.327
mrna - M60857,mrna - M60857_88,0.318
mrna - M60857,mrna - M60857_89,0.298
mrna - NM_001632,mrna - NM_001632_1,1.08
mrna - NM_001632,mrna - NM_001632_2,1.079
mrna - NM_001632,mrna - NM_001632_3,1.038
mrna - NM_001632,mrna - NM_001632_4,1.038
mrna - NM_001632,mrna - NM_001632_5,1.032
mrna - NM_001632,mrna - NM_001632_6,0.602
mrna - NM_001632,mrna - NM_001632_7,0.602
mrna - NM_001632,mrna - NM_001632_8,0.601
mrna - NM_001632,mrna - NM_001632_9,0.601
mrna - NM_001632,mrna - NM_001632_10,0.302
mrna - NM_001632,mrna - NM_001632_11,0.298
mrna - NM_001632,mrna - NM_001632_12,0.295
mrna - NM_003969,mrna - NM_003969_1,0.999
mrna - NM_003969,mrna - NM_003969_2,0.987
mrna - NM_003969,mrna - NM_003969_3,0.965
mrna - NM_003969,mrna - NM_003969_4,0.957
mrna - NM_003969,mrna - NM_003969_5,0.956
mrna - NM_003969,mrna - NM_003969_6,0.955
mrna - NM_003969,mrna - NM_003969_7,0.952
mrna - NM_003969,mrna - NM_003969_8,0.951
mrna - NM_003969,mrna - NM_003969_9,0.947
mrna - NM_003969,mrna - NM_003969_10,0.942
mrna - NM_003969,mrna - NM_003969_11,0.942
mrna - NM_003969,mrna - NM_003969_12,0.94
mrna - NM_003969,mrna - NM_003969_13,0.933
mrna - NM_003969,mrna - NM_003969_14,0.929
mrna - NM_003969,mrna - NM_003969_15,0.929
mrna - NM_003969,mrna - NM_003969_16,0.926
mrna - NM_003969,mrna - NM_003969_17,0.83
mrna - NM_003969,mrna - NM_003969_18,0.825
mrna - NM_003969,mrna - NM_003969_19,0.821
mrna - NM_003969,mrna - NM_003969_20,0.819
mrna - NM_003969,mrna - NM_003969_21,0.819
mrna - NM_003969,mrna - NM_003969_22,0.816
mrna - NM_003969,mrna - NM_003969_23,0.814
mrna - NM_003969,mrna - NM_003969_24,0.813
mrna - NM_003969,mrna - NM_003969_25,0.812
mrna - NM_003969,mrna - NM_003969_26,0.811
mrna - NM_003969,mrna - NM_003969_27,0.81
mrna - NM_003969,mrna - NM_003969_28,0.81
mrna - NM_003969,mrna - NM_003969_29,0.81
mrna - NM_003969,mrna - NM_003969_30,0.621
mrna - NM_003969,mrna - NM_003969_31,0.621
mrna - NM_003969,mrna - NM_003969_32,0.62
mrna - NM_003969,mrna - NM_003969_33,0.62
mrna - NM_003969,mrna - NM_003969_34,0.619
mrna - NM_003969,mrna - NM_003969_35,0.619
mrna - NM_003969,mrna - NM_003969_36,0.619
mrna - NM_003969,mrna - NM_003969_37,0.619
mrna - NM_003969,mrna - NM_003969_38,0.617
mrna - NM_003969,mrna - NM_003969_39,0.617
mrna - NM_003969,mrna - NM_003969_40,0.616
mrna - NM_003969,mrna - NM_003969_41,0.615
mrna - NM_003969,mrna - NM_003969_42,0.614
mrna - NM_003969,mrna - NM_003969_43,0.612
mrna - NM_003969,mrna - NM_003969_44,0.611
mrna - NM_003969,mrna - NM_003969_45,0.611
mrna - NM_003969,mrna - NM_003969_46,0.609
mrna - NM_003969,mrna - NM_003969_47,0.609
mrna - NM_003969,mrna - NM_003969_48,0.607
mrna - NM_003969,mrna - NM_003969_49,0.607
mrna - NM_003969,mrna - NM_003969_50,0.607
mrna - NM_003969,mrna - NM_003969_51,0.607
mrna - NM_003969,mrna - NM_003969_52,0.606
mrna - NM_003969,mrna - NM_003969_53,0.605
mrna - NM_003969,mrna - NM_003969_54,0.532
mrna - NM_003969,mrna - NM_003969_55,0.531
mrna - NM_003969,mrna - NM_003969_56,0.53
mrna - NM_003969,mrna - NM_003969_57,0.529
mrna - NM_003969,mrna - NM_003969_58,0.528
mrna - NM_003969,mrna - NM_003969_59,0.528
mrna - NM_003969,mrna - NM_003969_60,0.528
mrna - NM_003969,mrna - NM_003969_61,0.457
mrna - NM_003969,mrna - NM_003969_62,0.452
mrna - NM_003969,mrna - NM_003969_63,0.45
mrna - NM_003969,mrna - NM_003969_64,0.447
mrna - NM_003969,mrna - NM_003969_65,0.444
mrna - NM_003969,mrna - NM_003969_66,0.435
mrna - NM_003969,mrna - NM_003969_67,0.426
mrna - NM_003969,mrna - NM_003969_68,0.422
mrna - NM_003969,mrna - NM_003969_69,0.407
mrna - NM_003969,mrna - NM_003969_70,0.397
mrna - NM_003969,mrna - NM_003969_71,0.384
mrna - NM_003969,mrna - NM_003969_72,0.381
mrna - NM_003969,mrna - NM_003969_73,0.377
mrna - NM_003969,mrna - NM_003969_74,0.375
mrna - NM_003969,mrna - NM_003969_75,0.373
mrna - NM_003969,mrna - NM_003969_76,0.346
mrna - NM_005339,mrna - NM_005339_1,1.111
mrna - NM_005339,mrna - NM_005339_2,1.027
mrna - NM_005339,mrna - NM_005339_3,1.027
mrna - NM_005339,mrna - NM_005339_4,1.024
mrna - NM_005339,mrna - NM_005339_5,0.996
mrna - NM_005339,mrna - NM_005339_6,0.975
mrna - NM_005339,mrna - NM_005339_7,0.967
mrna - NM_005339,mrna - NM_005339_8,0.964
mrna - NM_005339,mrna - NM_005339_9,0.943
mrna - NM_005339,mrna - NM_005339_10,0.936
mrna - NM_005339,mrna - NM_005339_11,0.935
mrna - NM_005339,mrna - NM_005339_12,0.931
mrna - NM_005339,mrna - NM_005339_13,0.93
mrna - NM_005339,mrna - NM_005339_14,0.928
mrna - NM_005339,mrna - NM_005339_15,0.912
mrna - NM_005339,mrna - NM_005339_16,0.8
mrna - NM_005339,mrna - NM_005339_17,0.799
mrna - NM_005339,mrna - NM_005339_18,0.799
mrna - NM_005339,mrna - NM_005339_19,0.798
mrna - NM_005339,mrna - NM_005339_20,0.798
mrna - NM_005339,mrna - NM_005339_21,0.798
mrna - NM_005339,mrna - NM_005339_22,0.797
mrna - NM_005339,mrna - NM_005339_23,0.795
mrna - NM_005339,mrna - NM_005339_24,0.795
mrna - NM_005339,mrna - NM_005339_25,0.794
mrna - NM_005339,mrna - NM_005339_26,0.794
mrna - NM_005339,mrna - NM_005339_27,0.793
mrna - NM_005339,mrna - NM_005339_28,0.704
mrna - NM_005339,mrna - NM_005339_29,0.701
mrna - NM_005339,mrna - NM_005339_30,0.701
mrna - NM_005339,mrna - NM_005339_31,0.7
mrna - NM_005339,mrna - NM_005339_32,0.697
mrna - NM_005339,mrna - NM_005339_33,0.697
mrna - NM_005339,mrna - NM_005339_34,0.697
mrna - NM_005339,mrna - NM_005339_35,0.696
mrna - NM_005339,mrna - NM_005339_36,0.696
mrna - NM_005339,mrna - NM_005339_37,0.696
mrna - NM_005339,mrna - NM_005339_38,0.695
mrna - NM_005339,mrna - NM_005339_39,0.695
mrna - NM_005339,mrna - NM_005339_40,0.602
mrna - NM_005339,mrna - NM_005339_41,0.601
mrna - NM_005339,mrna - NM_005339_42,0.6
mrna - NM_005339,mrna - NM_005339_43,0.6
mrna - NM_005339,mrna - NM_005339_44,0.6
mrna - NM_005339,mrna - NM_005339_45,0.599
mrna - NM_005339,mrna - NM_005339_46,0.598
mrna - NM_005339,mrna - NM_005339_47,0.598
mrna - NM_005339,mrna - NM_005339_48,0.595
mrna - NM_005339,mrna - NM_005339_49,0.595
mrna - NM_005339,mrna - NM_005339_50,0.595
mrna - NM_005339,mrna - NM_005339_51,0.593
mrna - NM_005339,mrna - NM_005339_52,0.589
mrna - NM_005339,mrna - NM_005339_53,0.581
mrna - NM_005339,mrna - NM_005339_54,0.573
mrna - NM_005339,mrna - NM_005339_55,0.57
mrna - NM_005339,mrna - NM_005339_56,0.569
mrna - NM_005339,mrna - NM_005339_57,0.565
mrna - NM_005339,mrna - NM_005339_58,0.561
mrna - NM_005339,mrna - NM_005339_59,0.559
mrna - NM_005339,mrna - NM_005339_60,0.559
mrna - NM_005339,mrna - NM_005339_61,0.558
mrna - NM_005339,mrna - NM_005339_62,0.558
mrna - NM_005339,mrna - NM_005339_63,0.555
mrna - NM_005339,mrna - NM_005339_64,0.555
mrna - NM_005339,mrna - NM_005339_65,0.549
mrna - NM_005339,mrna - NM_005339_66,0.549
mrna - NM_005339,mrna - NM_005339_67,0.548
mrna - NM_005339,mrna - NM_005339_68,0.54
mrna - NM_005339,mrna - NM_005339_69,0.535
mrna - NM_005339,mrna - NM_005339_70,0.493
mrna - NM_005339,mrna - NM_005339_71,0.483
mrna - NM_005339,mrna - NM_005339_72,0.483
mrna - NM_005339,mrna - NM_005339_73,0.482
mrna - NM_005339,mrna - NM_005339_74,0.481
mrna - NM_005339,mrna - NM_005339_75,0.473
mrna - NM_005339,mrna - NM_005339_76,0.461
mrna - NM_005339,mrna - NM_005339_77,0.461
mrna - NM_005339,mrna - NM_005339_78,0.428
mrna - NM_005339,mrna - NM_005339_79,0.39
mrna - NM_012864,mrna - NM_012864_1,1.164
mrna - NM_012864,mrna - NM_012864_2,1.162
mrna - NM_012864,mrna - NM_012864_3,1.162
mrna - NM_012864,mrna - NM_012864_4,1.141
mrna - NM_012864,mrna - NM_012864_5,1.129
mrna - NM_012864,mrna - NM_012864_6,1.127
mrna - NM_012864,mrna - NM_012864_7,1.114
mrna - NM_012864,mrna - NM_012864_8,1.104
mrna - NM_012864,mrna - NM_012864_9,1.091
mrna - NM_012864,mrna - NM_012864_10,1.085
mrna - NM_012864,mrna - NM_012864_11,1.084
mrna - NM_012864,mrna - NM_012864_12,1.077
mrna - NM_012864,mrna - NM_012864_13,1.063
mrna - NM_012864,mrna - NM_012864_14,1.061
mrna - NM_012864,mrna - NM_012864_15,1.061
mrna - NM_012864,mrna - NM_012864_16,1.053
mrna - NM_012864,mrna - NM_012864_17,1.052
mrna - NM_012864,mrna - NM_012864_18,1.044
mrna - NM_012864,mrna - NM_012864_19,1.036
mrna - NM_012864,mrna - NM_012864_20,1.033
mrna - NM_012864,mrna - NM_012864_21,1.033
mrna - NM_012864,mrna - NM_012864_22,1.03
mrna - NM_012864,mrna - NM_012864_23,1.028
mrna - NM_012864,mrna - NM_012864_24,1.025
mrna - NM_012864,mrna - NM_012864_25,1.025
mrna - NM_012864,mrna - NM_012864_26,1.024
mrna - NM_012864,mrna - NM_012864_27,1.023
mrna - NM_012864,mrna - NM_012864_28,1.02
mrna - NM_012864,mrna - NM_012864_29,1.016
mrna - NM_012864,mrna - NM_012864_30,1.016
mrna - NM_012864,mrna - NM_012864_31,1.013
mrna - NM_012864,mrna - NM_012864_32,1.012
mrna - NM_012864,mrna - NM_012864_33,1.004
mrna - NM_012864,mrna - NM_012864_34,1.002
mrna - NM_012864,mrna - NM_012864_35,1.002
mrna - NM_012864,mrna - NM_012864_36,1.002
mrna - NM_012864,mrna - NM_012864_37,1.001
mrna - NM_012864,mrna - NM_012864_38,1.0
mrna - NM_012864,mrna - NM_012864_39,0.999
mrna - NM_012864,mrna - NM_012864_40,0.997
mrna - NM_012864,mrna - NM_012864_41,0.997
mrna - NM_012864,mrna - NM_012864_42,0.992
mrna - NM_012864,mrna - NM_012864_43,0.992
mrna - NM_012864,mrna - NM_012864_44,0.984
mrna - NM_012864,mrna - NM_012864_45,0.983
mrna - NM_012864,mrna - NM_012864_46,0.981
mrna - NM_012864,mrna - NM_012864_47,0.979
mrna - NM_012864,mrna - NM_012864_48,0.821
mrna - NM_012864,mrna - NM_012864_49,0.821
mrna - NM_012864,mrna - NM_012864_50,0.82
mrna - NM_012864,mrna - NM_012864_51,0.82
mrna - NM_012864,mrna - NM_012864_52,0.819
mrna - NM_012864,mrna - NM_012864_53,0.819
mrna - NM_012864,mrna - NM_012864_54,0.818
mrna - NM_012864,mrna - NM_012864_55,0.818
mrna - NM_012864,mrna - NM_012864_56,0.817
mrna - NM_012864,mrna - NM_012864_57,0.817
mrna - NM_012864,mrna - NM_012864_58,0.815
mrna - NM_012864,mrna - NM_012864_59,0.815
mrna - NM_012864,mrna - NM_012864_60,0.815
mrna - NM_012864,mrna - NM_012864_61,0.814
mrna - NM_012864,mrna - NM_012864_62,0.814
mrna - NM_012864,mrna - NM_012864_63,0.814
mrna - NM_012864,mrna - NM_012864_64,0.813
mrna - NM_012864,mrna - NM_012864_65,0.812
mrna - NM_012864,mrna - NM_012864_66,0.811
mrna - NM_012864,mrna - NM_012864_67,0.811
mrna - NM_012864,mrna - NM_012864_68,0.776
mrna - NM_012864,mrna - NM_012864_69,0.776
mrna - NM_012864,mrna - NM_012864_70,0.776
mrna - NM_012864,mrna - NM_012864_71,0.775
mrna - NM_012864,mrna - NM_012864_72,0.775
mrna - NM_012864,mrna - NM_012864_73,0.773
mrna - NM_012864,mrna - NM_012864_74,0.773
mrna - NM_012864,mrna - NM_012864_75,0.772
mrna - NM_012864,mrna - NM_012864_76,0.772
mrna - NM_012864,mrna - NM_012864_77,0.771
mrna - NM_012864,mrna - NM_012864_78,0.77
mrna - NM_012864,mrna - NM_012864_79,0.77
mrna - NM_012864,mrna - NM_012864_80,0.769
mrna - NM_012864,mrna - NM_012864_81,0.768
mrna - NM_012864,mrna - NM_012864_82,0.767
mrna - NM_012864,mrna - NM_012864_83,0.765
mrna - NM_012864,mrna - NM_012864_84,0.764
mrna - NM_012864,mrna - NM_012864_85,0.764
